Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1972","1972","t","6071.1","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1973","1973","t","6045.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1974","1974","t","6432.41","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1975","1975","t","6431.61","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1976","1976","t","6787.6","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1977","1977","t","7112.49","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1978","1978","t","6930.49","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1979","1979","t","7459.13","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1980","1980","t","7959.51","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1981","1981","t","8019.1","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1982","1982","t","8027.28","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1983","1983","t","8225.82","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1984","1984","t","8621.05","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1985","1985","t","8691.21","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1986","1986","t","8648.65","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1987","1987","t","8574.44","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1988","1988","t","9245.72","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1989","1989","t","12150.16","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1990","1990","t","21684.5","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1991","1991","t","38500.87","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1992","1992","t","41284.89","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1993","1993","t","53149.59","I","Value imputed by a receiving agency",""
