year,onion_prod_fao_tons,onion_prod_bdstat_tons,onion_import_fao_tons,onion_import_bdstat_kg,onion_import_bdstat_value_000tk,onion_producer_price_lcu_ton,onion_producer_price_usd_ton,onion_retail_price_bdt_kg_2024,onion_import_bdstat_tons,onion_import_hybrid_tons
1986,136615.0,,369.0,,,,,,,30000.0
1987,130125.0,,,,,,,,,30000.0
1988,140545.0,,,,,,,,,30000.0
1989,138589.0,,,,,,,,,30000.0
1990,147845.0,,,,,,,,,30000.0
1991,143305.0,,,,,13020.0,355.8,,,30000.0
1992,144040.0,,,,,7260.0,186.4,,,30000.0
1993,139880.0,,,,,7870.0,198.9,,,30000.0
1994,144170.0,,,,,7150.0,177.8,,,30000.0
1995,144000.0,,,,,5710.0,141.8,,,30000.0
1996,138190.0,,,,,6890.0,164.9,,,35652.0
1997,141835.0,,,,,7550.0,172.0,,,41304.0
1998,138430.0,,46956.0,,,14350.0,305.9,,,46956.0
1999,131000.0,,,,,12700.0,258.7,,,58533.71428571429
2000,134000.0,,,,,13620.0,261.2,,,70111.42857142858
2001,127000.0,,,,,9680.0,173.5,,,81689.14285714286
2002,150000.0,,,,,12890.0,222.7,,,93266.85714285714
2003,153455.0,,,,,14000.0,240.8,,,104844.57142857143
2004,272230.0,,,,,15000.0,252.0,,,116422.28571428571
2005,589410.0,,72359.0,,,16000.0,248.7,,,128000.0
2006,768655.0,,106975.0,,,16250.0,235.7,,,104975.0
2007,894255.0,,96446.0,,,14030.0,203.7,,,148000.0
2008,889260.0,,,,,23950.0,349.1,,,186001.5
2009,735140.0,,,,,23720.0,343.6,,,224003.0
2010,872081.0,,,,,22820.0,327.6,,,262004.5
2011,1051523.0,,,,,15540.0,209.6,,,300006.0
2012,1159259.0,,,,,28190.0,344.4,,,338007.5
2013,1168000.0,,,,,41650.0,533.3,,,376009.0
2014,1387000.0,,,,,28870.0,371.8,,,414010.5
2015,1704402.0,,452011.57999999996,,,38119.2,489.0,,,452012.0
2016,1735334.0,,,,,24510.0,311.6,,,352321.5
2017,1866502.0,,,,,21650.0,269.2,,,252631.0
2018,1737714.0,,,,,40520.0,485.5,,,327861.0
2019,1802868.0,,,,,25420.0,301.0,,,341470.0
2020,1953800.0,,,,,66100.0,778.8,,,790313.0
2021,2268754.0,2837.0,,755883739.0,26712780,41180.0,484.0,,755883.739,100000.0
2022,2517070.0,2856.0,,883551362.0,38262655,49165.6,535.9,,883551.362,727000.0
2023,2546994.0,2883.0,,765452503.0,49559655,47058.7,442.7,,765452.503,870000.0
2024,,,,,,,,104.61440677966101,,483000.0
